timestamp,asset_id,temperature,vibration,pressure,humidity,power,health_index
2026-06-01 06:00,FURNACE-01,700.87,3.07,3.1,27.6,883.36,0.814
2026-06-01 07:00,FURNACE-01,650.39,2.3,3.26,31.5,846.66,0.814
2026-06-01 08:00,FURNACE-01,704.56,2.56,3.36,23.5,884.95,0.815
2026-06-01 09:00,FURNACE-01,648.44,1.2,2.87,24.3,899.47,0.815
2026-06-01 10:00,FURNACE-01,712.9,1.87,3.38,24.0,853.8,0.815
2026-06-01 11:00,FURNACE-01,684.43,2.5,3.37,30.6,874.4,0.816
2026-06-01 12:00,FURNACE-01,712.29,2.67,2.86,25.1,835.5,0.816
2026-06-01 13:00,FURNACE-01,707.74,2.32,3.91,24.7,805.66,0.816
2026-06-01 14:00,FURNACE-01,715.62,3.11,3.26,31.3,925.17,0.816
2026-06-01 15:00,FURNACE-01,690.01,1.77,2.89,31.8,789.24,0.817
2026-06-01 16:00,FURNACE-01,693.7,2.56,2.97,30.9,885.0,0.817
2026-06-01 17:00,FURNACE-01,761.26,2.73,2.87,25.8,818.11,0.817
2026-06-01 18:00,FURNACE-01,720.68,2.17,3.06,31.0,823.18,0.818
2026-06-01 19:00,FURNACE-01,683.77,1.57,2.7,25.7,876.99,0.818
2026-06-01 20:00,FURNACE-01,727.62,2.43,3.17,28.7,908.55,0.818
2026-06-01 21:00,FURNACE-01,718.66,2.56,2.72,31.6,875.22,0.819
2026-06-01 22:00,FURNACE-01,728.42,2.42,3.77,26.6,932.41,0.819
2026-06-01 23:00,FURNACE-01,695.5,2.19,2.68,27.4,924.32,0.819
2026-06-02 00:00,FURNACE-01,716.11,2.76,2.24,30.8,883.27,0.819
2026-06-02 01:00,FURNACE-01,675.7,2.14,3.08,34.9,807.15,0.82
2026-06-02 02:00,FURNACE-01,679.22,3.07,2.92,26.5,861.52,0.82
2026-06-02 03:00,FURNACE-01,655.14,2.54,2.65,31.5,856.99,0.82
2026-06-02 04:00,FURNACE-01,758.99,2.56,3.56,22.8,851.01,0.821
2026-06-02 05:00,FURNACE-01,701.11,3.25,2.49,32.0,884.61,0.821
2026-06-02 06:00,FURNACE-01,736.69,2.77,3.1,25.9,797.8,0.821
2026-06-02 07:00,FURNACE-01,697.17,2.34,3.79,25.6,871.7,0.822
2026-06-02 08:00,FURNACE-01,645.11,2.24,3.17,31.3,924.78,0.822
2026-06-02 09:00,FURNACE-01,689.94,1.9,3.24,30.1,879.63,0.822
2026-06-02 10:00,FURNACE-01,670.53,2.96,3.11,30.8,916.42,0.822
2026-06-02 11:00,FURNACE-01,708.99,2.56,3.84,29.0,842.41,0.823
2026-06-02 12:00,FURNACE-01,694.27,3.12,3.12,30.1,912.58,0.823
2026-06-02 13:00,FURNACE-01,675.8,1.61,3.19,28.9,827.61,0.823
2026-06-02 14:00,FURNACE-01,716.42,2.71,2.73,30.1,846.93,0.824
2026-06-02 15:00,FURNACE-01,647.11,2.64,3.06,25.0,880.7,0.824
2026-06-02 16:00,FURNACE-01,704.98,2.15,3.22,32.1,822.52,0.824
2026-06-02 17:00,FURNACE-01,701.74,2.42,3.88,20.6,888.67,0.825
2026-06-02 18:00,FURNACE-01,681.46,2.37,3.75,28.0,961.26,0.825
2026-06-02 19:00,FURNACE-01,677.38,2.58,2.91,25.2,858.79,0.825
2026-06-02 20:00,FURNACE-01,681.99,2.51,2.34,36.0,847.95,0.825
2026-06-02 21:00,FURNACE-01,741.37,1.95,3.18,40.7,814.88,0.826
2026-06-02 22:00,FURNACE-01,646.22,2.16,3.24,30.8,916.27,0.826
2026-06-02 23:00,FURNACE-01,682.48,1.66,2.92,33.0,877.47,0.826
2026-06-03 00:00,FURNACE-01,632.53,2.4,3.57,36.5,881.91,0.827
2026-06-03 01:00,FURNACE-01,698.92,1.83,2.78,28.2,879.1,0.827
2026-06-03 02:00,FURNACE-01,706.78,2.19,2.67,24.9,801.15,0.827
2026-06-03 03:00,FURNACE-01,708.54,1.33,2.96,29.8,926.74,0.828
2026-06-03 04:00,FURNACE-01,691.68,2.88,2.94,25.0,823.68,0.828
2026-06-03 05:00,FURNACE-01,734.25,2.88,3.25,41.3,853.72,0.828
2026-06-03 06:00,FURNACE-01,707.59,2.56,3.0,37.3,925.78,0.828
2026-06-03 07:00,FURNACE-01,648.35,2.22,3.23,31.1,791.94,0.829
2026-06-03 08:00,FURNACE-01,623.22,1.52,3.05,27.6,871.23,0.829
2026-06-03 09:00,FURNACE-01,666.64,1.84,2.37,29.3,872.32,0.829
2026-06-03 10:00,FURNACE-01,718.13,2.78,3.01,33.4,848.55,0.83
2026-06-03 11:00,FURNACE-01,669.66,2.16,2.87,19.3,862.19,0.83
2026-06-03 12:00,FURNACE-01,696.21,2.24,2.83,29.5,935.14,0.83
2026-06-03 13:00,FURNACE-01,689.93,2.17,2.87,27.7,795.58,0.831
2026-06-03 14:00,FURNACE-01,685.07,2.43,3.72,31.8,903.05,0.831
2026-06-03 15:00,FURNACE-01,667.81,2.72,2.68,29.2,874.2,0.831
2026-06-03 16:00,FURNACE-01,666.17,3.34,3.27,20.4,880.41,0.831
2026-06-03 17:00,FURNACE-01,676.57,2.4,3.24,29.6,759.21,0.832
2026-06-03 18:00,FURNACE-01,654.56,2.76,3.53,35.6,938.68,0.832
2026-06-03 19:00,FURNACE-01,628.29,2.76,2.4,34.5,866.21,0.832
2026-06-03 20:00,FURNACE-01,654.91,3.34,3.3,20.4,868.02,0.833
2026-06-03 21:00,FURNACE-01,666.79,2.45,2.91,33.5,787.81,0.833
2026-06-03 22:00,FURNACE-01,697.3,3.25,2.79,28.8,863.62,0.833
2026-06-03 23:00,FURNACE-01,667.84,2.7,3.11,24.2,936.35,0.834
2026-06-04 00:00,FURNACE-01,710.95,2.32,2.85,24.9,911.49,0.834
2026-06-04 01:00,FURNACE-01,683.51,2.61,3.01,30.5,848.6,0.834
2026-06-04 02:00,FURNACE-01,709.95,2.31,3.36,30.7,848.51,0.834
2026-06-04 03:00,FURNACE-01,662.56,1.96,2.82,24.1,894.24,0.835
2026-06-04 04:00,FURNACE-01,686.16,3.13,3.87,28.1,781.69,0.835
2026-06-04 05:00,FURNACE-01,676.33,2.36,2.55,27.0,867.13,0.835
2026-06-04 06:00,FURNACE-01,673.97,2.04,2.81,35.1,846.27,0.836
2026-06-04 07:00,FURNACE-01,663.11,2.22,3.41,25.3,876.08,0.836
2026-06-04 08:00,FURNACE-01,708.35,2.74,3.56,25.8,906.31,0.836
2026-06-04 09:00,FURNACE-01,664.03,2.21,3.49,31.3,853.62,0.837
2026-06-04 10:00,FURNACE-01,652.36,2.65,2.85,24.3,823.3,0.837
2026-06-04 11:00,FURNACE-01,694.08,1.4,3.2,28.7,826.2,0.837
2026-06-04 12:00,FURNACE-01,716.97,2.67,2.86,25.3,885.66,0.837
2026-06-04 13:00,FURNACE-01,642.69,2.23,2.85,28.3,863.09,0.838
2026-06-04 14:00,FURNACE-01,687.72,2.92,3.15,26.7,796.93,0.838
2026-06-04 15:00,FURNACE-01,707.53,2.63,3.58,25.0,854.38,0.838
2026-06-04 16:00,FURNACE-01,684.78,2.35,3.08,21.1,891.41,0.839
2026-06-04 17:00,FURNACE-01,705.36,2.91,3.86,26.7,851.35,0.839
2026-06-04 18:00,FURNACE-01,686.59,3.29,2.47,29.9,784.67,0.839
2026-06-04 19:00,FURNACE-01,611.33,1.45,2.59,32.3,812.59,0.84
2026-06-04 20:00,FURNACE-01,679.54,1.84,3.28,23.6,913.99,0.84
2026-06-04 21:00,FURNACE-01,657.25,2.03,3.11,28.1,918.88,0.84
2026-06-04 22:00,FURNACE-01,689.46,1.82,2.88,25.7,886.35,0.84
2026-06-04 23:00,FURNACE-01,697.0,2.33,3.37,25.9,846.34,0.841
2026-06-05 00:00,FURNACE-01,691.03,3.09,3.04,26.6,804.11,0.841
2026-06-05 01:00,FURNACE-01,705.58,2.11,3.19,20.4,900.88,0.841
2026-06-05 02:00,FURNACE-01,647.05,2.02,3.44,22.7,848.79,0.842
2026-06-05 03:00,FURNACE-01,687.68,1.92,3.54,34.0,761.08,0.842
2026-06-05 04:00,FURNACE-01,643.51,2.75,2.62,26.4,858.35,0.842
2026-06-05 05:00,FURNACE-01,705.38,2.27,3.1,24.9,912.12,0.843
2026-06-05 06:00,FURNACE-01,670.94,2.53,2.89,28.4,844.44,0.843
2026-06-05 07:00,FURNACE-01,680.49,1.91,3.35,33.7,863.42,0.843
2026-06-05 08:00,FURNACE-01,706.28,2.76,3.39,29.2,861.92,0.843
2026-06-05 09:00,FURNACE-01,709.99,2.41,2.73,28.1,764.7,0.844
2026-06-05 10:00,FURNACE-01,684.76,2.57,3.5,28.6,894.9,0.844
2026-06-05 11:00,FURNACE-01,684.83,1.9,2.58,24.1,788.76,0.844
2026-06-05 12:00,FURNACE-01,703.06,2.28,3.27,28.3,900.11,0.845
2026-06-05 13:00,FURNACE-01,715.28,2.07,2.97,25.9,776.88,0.845
2026-06-05 14:00,FURNACE-01,704.08,2.92,3.07,26.0,902.13,0.845
2026-06-05 15:00,FURNACE-01,616.81,2.45,3.12,25.7,915.94,0.846
2026-06-05 16:00,FURNACE-01,712.42,2.25,3.04,26.4,827.97,0.846
2026-06-05 17:00,FURNACE-01,646.58,3.01,3.43,31.2,801.04,0.846
2026-06-05 18:00,FURNACE-01,744.25,3.28,3.13,24.4,811.51,0.846
2026-06-05 19:00,FURNACE-01,696.22,1.95,3.06,32.4,781.91,0.847
2026-06-05 20:00,FURNACE-01,741.88,3.09,2.64,22.3,838.29,0.847
2026-06-05 21:00,FURNACE-01,654.26,2.24,2.18,27.1,934.43,0.847
2026-06-05 22:00,FURNACE-01,651.72,2.24,2.55,30.6,840.86,0.848
2026-06-05 23:00,FURNACE-01,739.7,2.46,2.94,30.2,827.85,0.848
2026-06-06 00:00,FURNACE-01,645.15,2.5,3.01,28.7,868.42,0.848
2026-06-06 01:00,FURNACE-01,668.94,2.56,3.67,23.6,931.08,0.849
2026-06-06 02:00,FURNACE-01,676.56,2.01,3.91,28.6,914.1,0.849
2026-06-06 03:00,FURNACE-01,706.98,1.59,3.11,25.9,789.16,0.849
2026-06-06 04:00,FURNACE-01,632.41,2.41,3.27,29.6,836.8,0.849
2026-06-06 05:00,FURNACE-01,660.32,1.91,2.88,23.9,841.46,0.85
2026-06-01 06:00,LADLE-02,667.94,1.84,2.97,25.0,840.14,0.901
2026-06-01 07:00,LADLE-02,682.46,2.32,3.2,21.4,823.66,0.901
2026-06-01 08:00,LADLE-02,676.08,2.52,2.52,28.6,893.3,0.901
2026-06-01 09:00,LADLE-02,663.53,2.2,3.19,29.0,869.89,0.901
2026-06-01 10:00,LADLE-02,670.37,2.3,2.79,27.3,895.27,0.901
2026-06-01 11:00,LADLE-02,662.73,2.16,2.88,31.1,802.62,0.902
2026-06-01 12:00,LADLE-02,693.29,1.82,2.7,28.8,845.86,0.902
2026-06-01 13:00,LADLE-02,676.42,2.7,2.91,29.8,800.14,0.902
2026-06-01 14:00,LADLE-02,702.76,2.51,3.22,28.8,805.57,0.902
2026-06-01 15:00,LADLE-02,659.17,2.45,3.04,28.5,780.33,0.902
2026-06-01 16:00,LADLE-02,673.08,1.93,2.69,27.4,758.5,0.902
2026-06-01 17:00,LADLE-02,687.23,2.61,3.03,24.0,798.48,0.903
2026-06-01 18:00,LADLE-02,663.87,1.17,3.1,30.7,826.25,0.903
2026-06-01 19:00,LADLE-02,654.41,2.31,3.16,32.4,840.72,0.903
2026-06-01 20:00,LADLE-02,649.01,2.03,3.1,34.2,825.82,0.903
2026-06-01 21:00,LADLE-02,639.02,1.85,2.35,29.3,780.12,0.903
2026-06-01 22:00,LADLE-02,634.01,1.37,2.68,30.3,782.29,0.903
2026-06-01 23:00,LADLE-02,619.83,2.31,2.93,29.7,872.26,0.904
2026-06-02 00:00,LADLE-02,667.51,1.66,3.0,30.0,814.18,0.904
2026-06-02 01:00,LADLE-02,628.3,2.71,2.91,26.4,840.41,0.904
2026-06-02 02:00,LADLE-02,695.88,2.35,2.93,30.7,933.81,0.904
2026-06-02 03:00,LADLE-02,705.62,2.52,2.67,43.0,787.11,0.904
2026-06-02 04:00,LADLE-02,657.37,1.92,3.58,29.7,777.07,0.904
2026-06-02 05:00,LADLE-02,674.84,2.47,2.94,23.1,807.81,0.904
2026-06-02 06:00,LADLE-02,655.5,2.24,2.87,30.9,797.93,0.905
2026-06-02 07:00,LADLE-02,620.01,1.9,3.49,25.7,942.06,0.905
2026-06-02 08:00,LADLE-02,680.83,1.72,2.77,29.0,787.9,0.905
2026-06-02 09:00,LADLE-02,732.32,1.79,3.27,33.8,834.67,0.905
2026-06-02 10:00,LADLE-02,640.02,2.11,3.16,31.5,841.9,0.905
2026-06-02 11:00,LADLE-02,628.92,2.25,2.82,19.3,808.84,0.905
2026-06-02 12:00,LADLE-02,628.0,2.48,3.68,35.4,814.26,0.906
2026-06-02 13:00,LADLE-02,654.36,2.53,3.39,26.3,833.08,0.906
2026-06-02 14:00,LADLE-02,727.46,2.18,2.88,28.5,864.66,0.906
2026-06-02 15:00,LADLE-02,639.11,2.12,2.66,26.9,921.38,0.906
2026-06-02 16:00,LADLE-02,687.28,2.18,2.74,26.8,885.19,0.906
2026-06-02 17:00,LADLE-02,651.6,2.86,2.59,26.8,915.42,0.906
2026-06-02 18:00,LADLE-02,612.02,2.74,2.43,27.6,831.61,0.907
2026-06-02 19:00,LADLE-02,689.39,0.84,2.41,25.7,840.74,0.907
2026-06-02 20:00,LADLE-02,642.41,2.13,2.65,26.4,802.06,0.907
2026-06-02 21:00,LADLE-02,673.44,2.48,3.51,25.4,825.15,0.907
2026-06-02 22:00,LADLE-02,668.03,2.09,3.02,21.8,855.27,0.907
2026-06-02 23:00,LADLE-02,641.68,1.8,2.52,32.6,832.85,0.907
2026-06-03 00:00,LADLE-02,698.03,2.34,2.48,23.7,872.08,0.908
2026-06-03 01:00,LADLE-02,645.68,1.75,2.98,27.3,794.71,0.908
2026-06-03 02:00,LADLE-02,657.64,2.01,2.19,30.0,803.45,0.908
2026-06-03 03:00,LADLE-02,702.11,1.72,2.52,32.8,769.62,0.908
2026-06-03 04:00,LADLE-02,649.08,2.48,2.93,21.4,847.04,0.908
2026-06-03 05:00,LADLE-02,661.1,2.78,3.23,40.1,766.92,0.908
2026-06-03 06:00,LADLE-02,665.77,1.75,3.42,31.3,871.68,0.908
2026-06-03 07:00,LADLE-02,645.1,1.89,2.38,34.8,860.91,0.909
2026-06-03 08:00,LADLE-02,659.15,2.63,3.29,31.9,767.83,0.909
2026-06-03 09:00,LADLE-02,646.75,2.3,3.16,31.8,794.64,0.909
2026-06-03 10:00,LADLE-02,669.64,3.18,3.27,31.5,837.79,0.909
2026-06-03 11:00,LADLE-02,687.06,3.0,3.08,32.9,800.42,0.909
2026-06-03 12:00,LADLE-02,682.17,2.61,2.79,32.4,809.11,0.909
2026-06-03 13:00,LADLE-02,644.08,2.22,3.67,29.2,879.35,0.91
2026-06-03 14:00,LADLE-02,646.04,2.25,2.66,25.7,874.94,0.91
2026-06-03 15:00,LADLE-02,664.9,2.85,2.97,27.2,894.13,0.91
2026-06-03 16:00,LADLE-02,648.22,1.55,3.47,29.7,744.04,0.91
2026-06-03 17:00,LADLE-02,667.06,2.04,3.61,25.1,813.08,0.91
2026-06-03 18:00,LADLE-02,641.01,1.76,2.81,22.3,793.42,0.91
2026-06-03 19:00,LADLE-02,622.0,1.56,2.53,25.9,808.54,0.911
2026-06-03 20:00,LADLE-02,632.31,2.42,3.02,26.3,818.09,0.911
2026-06-03 21:00,LADLE-02,709.04,2.32,3.2,17.7,809.79,0.911
2026-06-03 22:00,LADLE-02,606.52,2.03,3.16,25.3,860.83,0.911
2026-06-03 23:00,LADLE-02,637.74,2.46,2.53,27.0,856.49,0.911
2026-06-04 00:00,LADLE-02,680.11,2.16,3.67,26.3,818.53,0.911
2026-06-04 01:00,LADLE-02,590.39,2.98,2.92,23.3,895.65,0.912
2026-06-04 02:00,LADLE-02,699.05,2.26,2.57,29.7,811.05,0.912
2026-06-04 03:00,LADLE-02,633.54,2.67,2.34,30.3,858.07,0.912
2026-06-04 04:00,LADLE-02,721.13,2.35,2.37,24.7,840.85,0.912
